Model,Epoch,Loss,Accuracy (%),Time (s)
SimpleNet,1,1.5289,83.57,24.21
SimpleNet,2,0.5434,91.2,19.71
SimpleNet,3,0.3169,92.67,19.63
SimpleNet,4,0.2432,93.75,18.81
SimpleNet,5,0.1998,94.67,20.36
SimpleNet,6,0.1687,95.19,18.84
SimpleNet,7,0.145,95.76,18.95
SimpleNet,8,0.1266,96.06,19.05
SimpleNet,9,0.1096,96.35,28.35
SimpleNet,10,0.0964,96.67,29.13
LeNet5,1,1.0677,90.24,37.18
LeNet5,2,0.3017,93.83,33.43
LeNet5,3,0.1994,95.16,41.17
LeNet5,4,0.1486,96.5,31.16
LeNet5,5,0.119,97.08,35.3
LeNet5,6,0.0996,97.4,35.39
LeNet5,7,0.0873,97.57,34.57
LeNet5,8,0.0783,97.91,25.73
LeNet5,9,0.0704,98.01,25.94
LeNet5,10,0.0642,98.07,26.1
ResNet,1,1.0254,94.69,68.47
ResNet,2,0.1778,96.92,68.99
ResNet,3,0.0854,97.79,70.13
ResNet,4,0.0556,98.45,69.91
ResNet,5,0.0428,98.62,68.34
ResNet,6,0.0346,98.23,68.52
ResNet,7,0.027,98.12,68.47
ResNet,8,0.023,98.54,68.59
ResNet,9,0.0189,98.7,68.5
ResNet,10,0.0157,98.65,67.0
